Bee,Sp.Name,Disp,Nests,Rep
1,Ceratina_timberlakei,30,50,12
2,Megachile_apicalis,467,25,12
3,Osmia_atrocyanea,641,20,12
4,Bombus_sp,1000,6,10
5,Agapostemon_texanus,195,25,12
6,Halictus_ligatus,96,15,20
7,Peponapis_pruinosa,1049,25,10
